activation_estimate_ms,activation_started_timestamp,active_requests,agent_healthy,available,block,completed_requests,concurrency,condition_id,cpu_utilization_percent,deactivation_timestamp,ewma_inference_ms,ewma_tokens_per_second,ewma_ttft_ms,excluded,failed_requests,gpu_measurement_attributable,gpu_memory_total_mib,gpu_memory_used_mib,gpu_memory_utilization_percent,gpu_metrics_reason,gpu_model,gpu_temperature_celsius,gpu_utilization_percent,healthy,idle_seconds,inference_process_rss_mib,inference_ready,inference_worker_running,last_activation,last_deactivation,last_inference_ms,last_request_timestamp,last_tokens_per_second,last_ttft_ms,management_process_rss_mib,management_runtime_running,max_concurrency,model,model_cache_bytes,model_cached,model_digest,node_id,node_state,profile_inference_ms,queue_length,ram_utilization_percent,ready_timestamp,role,rtt_ms,run_order,runtime_running,sampled_node,stage_seconds,state_changed_timestamp,target_node,temperature_celsius,timestamp,within_block_order
0.0,1788523155.4658194,1,True,True,1,10766,16,b01-o01-spark-c16,1.537,,22.405,506.672,372.226,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.016499757766723633,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},20.229,1788523486.201481,511.019,4.331,342.461,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.54,1788523190.5512455,spark,7.82,1,True,spark,18.0,1788523190.5512486,spark,59.05,1788523486.2179809,1
0.0,1788523155.4658194,1,True,True,1,10817,16,b01-o01-spark-c16,12.217,,19.668,541.929,304.884,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.015366792678833008,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},19.7,1788523487.2533686,538.068,300.751,342.16,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.541,1788523190.5512455,spark,7.647,1,True,spark,18.0,1788523190.5512486,spark,63.05,1788523487.2687354,1
0.0,1788523155.4658194,1,True,True,1,10870,16,b01-o01-spark-c16,10.537,,19.274,540.629,306.315,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.006018400192260742,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},18.531,1788523488.3146605,541.712,305.851,342.488,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.549,1788523190.5512455,spark,7.883,1,True,spark,18.0,1788523190.5512486,spark,62.05,1788523488.320679,1
0.0,1788523155.4658194,1,True,True,1,10922,16,b01-o01-spark-c16,10.263,,20.647,520.367,311.093,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.0,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},21.783,1788523489.3730903,503.05,309.31,342.395,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,14,27.552,1788523190.5512455,spark,8.368,1,True,spark,18.0,1788523190.5512486,spark,50.05,1788523489.372489,1
0.0,1788523155.4658194,1,True,True,1,10972,16,b01-o01-spark-c16,10.282,,20.345,501.913,311.52,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.005665779113769531,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},20.598,1788523490.4199693,496.032,309.367,342.383,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.569,1788523190.5512455,spark,7.548,1,True,spark,18.0,1788523190.5512486,spark,59.0,1788523490.425635,1
0.0,1788523155.4658194,1,True,True,1,11020,16,b01-o01-spark-c16,11.323,,22.329,500.346,360.916,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.007181406021118164,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},20.749,1788523491.472312,499.719,360.757,342.402,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.594,1788523190.5512455,spark,7.282,1,True,spark,18.0,1788523190.5512486,spark,55.05,1788523491.4794934,1
0.0,1788523155.4658194,1,True,True,1,11073,16,b01-o01-spark-c16,11.439,,19.573,536.398,302.852,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.008985519409179688,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},19.515,1788523492.5236347,539.156,300.996,342.539,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.615,1788523190.5512455,spark,5.947,1,True,spark,18.0,1788523190.5512486,spark,61.05,1788523492.5326202,1
0.0,1788523155.4658194,1,True,True,1,11124,16,b01-o01-spark-c16,11.151,,20.951,506.528,316.468,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.004698038101196289,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},20.909,1788523493.570561,506.778,316.531,342.578,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.627,1788523190.5512455,spark,7.158,1,True,spark,18.0,1788523190.5512486,spark,62.0,1788523493.575259,1
0.0,1788523155.4658194,1,True,True,1,11177,16,b01-o01-spark-c16,10.475,,19.907,542.61,299.652,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,57.0,79.0,True,0.0031058788299560547,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},20.317,1788523494.6302161,545.293,300.179,342.262,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.607,1788523190.5512455,spark,7.498,1,True,spark,18.0,1788523190.5512486,spark,59.05,1788523494.633322,1
0.0,1788523155.4658194,1,True,True,1,11226,16,b01-o01-spark-c16,10.856,,21.251,540.454,343.859,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,55.0,77.0,True,0.008369684219360352,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},18.976,1788523495.679789,546.672,341.849,342.074,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.607,1788523190.5512455,spark,7.507,1,True,spark,18.0,1788523190.5512486,spark,64.05,1788523495.6881588,1
0.0,1788523155.4658194,1,True,True,1,11279,16,b01-o01-spark-c16,10.536,,19.681,544.318,302.57,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,55.0,77.0,True,0.006641864776611328,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},19.596,1788523496.7405372,545.108,302.903,342.586,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.599,1788523190.5512455,spark,6.818,1,True,spark,18.0,1788523190.5512486,spark,61.05,1788523496.747179,1
0.0,1788523155.4658194,1,True,True,1,11332,16,b01-o01-spark-c16,10.522,,19.472,542.988,296.49,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,55.0,77.0,True,0.015006303787231445,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},19.019,1788523497.7829983,542.925,296.711,342.48,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.592,1788523190.5512455,spark,6.922,1,True,spark,18.0,1788523190.5512486,spark,64.05,1788523497.7980046,1
0.0,1788523155.4658194,1,True,True,1,11386,16,b01-o01-spark-c16,10.719,,19.548,536.175,293.977,False,0,False,15840.0,1672.0,10.556,dcgm_shared_with_existing_workload,NVIDIA GeForce RTX 5080,55.0,77.0,True,0.017935514450073242,939.059,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788523155.4658194, 'ready_timestamp': 1788523190.5512455, 'worker_start_ms': 1.502, 'model_remote_download_ms': 17584.103, 'model_load_ms': 17493.29, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 35085.449, 'activation_time_ms': 35085.45, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788523190.5512486, 'node': 'spark', 'physical_node': 'etri-ser0002-cgnmsb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'rtx5080_cold_trial_1'}}",{},19.354,1788523498.8330095,541.235,295.021,342.336,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0002-cgnmsb,ACTIVE,206.0,15,27.586,1788523190.5512455,spark,7.958,1,True,spark,18.0,1788523190.5512486,spark,63.05,1788523498.850945,1
