scenario,requests,mean_latency_ms,p95_latency_ms,mean_ttft_ms,p95_ttft_ms,mean_tokens_per_second,throughput_requests_per_second,offloading_transitions,offloaded_requests,nano_requests,agx_requests,spark_requests,latency_improvement_percent_vs_nano
nano_only,31,2502.9985161290324,5382.826999999999,2131.958,5061.897,23.900709677419357,2.223828707921645,0,0,31,0,0,0.0
static_nano,31,2311.979451612903,5608.648,1958.832258064516,5274.721,24.85038709677419,2.3718296516612414,0,0,31,0,0,7.631609179359256
static_agx,31,965.7055806451613,2199.3419999999996,789.0661612903226,2027.2655,45.7321935483871,4.860952783715692,0,31,0,31,0,61.41805221128713
static_spark,31,954.0895483870968,2259.442,774.6253225806453,2080.6465,45.930032258064514,4.751186596057752,0,31,0,0,31,61.88213687546939
dynamic,62,1344.4254354838708,3188.5807999999997,1161.042870967742,3016.1340499999997,45.03379032258064,5.21628556730466,2,60,2,53,7,46.28740581264635
