scenario,concurrency,request_id,timestamp,completed_timestamp,selected_node,physical_node,selection_reason,queue_length,active_requests,cpu_utilization_percent,gpu_utilization_percent,gpu_memory_utilization_percent,ram_utilization_percent,temperature_celsius,ttft_ms,tokens_per_second,rtt_ms,predicted_e2e_ms,actual_e2e_ms,worker_actual_e2e_ms,status,error
nano_only,1,42e96d5f-f1e9-41cd-8c99-ab2cea459b8e,1788350185.367282,1788350186.0049915,nano,etri-dev0001-jetorn,policy:nano_only,0,0,5.128,,,41.649,38.937,275.553,22.242,13.996,3830.963,637.705,634.449,ok,
nano_only,2,522155e5-b172-40e7-b24c-9aa8e58a2bbc,1788350188.1002185,1788350188.6069996,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.651,39.187,129.971,21.34,17.936,3039.261,506.779,502.479,ok,
nano_only,2,3696acb7-b8cc-446f-9f97-d6590269a774,1788350188.1009438,1788350188.9767425,nano,etri-dev0001-jetorn,policy:nano_only,0,0,4.049,,,41.651,39.187,556.38,25.616,17.827,3039.152,875.797,872.009,ok,
nano_only,4,1e9514cb-3cdd-4d99-9bf6-e906359fefee,1788350191.1331766,1788350191.7275913,nano,etri-dev0001-jetorn,policy:nano_only,0,0,31.232,,,41.658,39.406,221.481,21.51,102.291,1988.584,594.414,590.425,ok,
nano_only,4,46590aa3-619a-456a-a2eb-f3ba42dc68e0,1788350191.1346147,1788350192.0974438,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.658,39.5,610.92,25.682,96.079,1982.372,962.828,917.944,ok,
nano_only,4,923fa796-2510-43e9-ac08-f2d6b79a2494,1788350191.1360018,1788350192.455887,nano,etri-dev0001-jetorn,policy:nano_only,0,0,66.667,,,41.658,39.406,978.517,26.87,101.397,1987.69,1319.884,1276.481,ok,
nano_only,4,061c0182-957d-491f-a0b6-6d9f08ff6c5d,1788350191.1365771,1788350192.8248277,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.658,39.406,1345.276,26.659,103.823,1990.116,1688.249,1644.545,ok,
nano_only,8,c00dfcc9-2192-477a-96be-039f97c4e856,1788350195.2537906,1788350195.7778769,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.658,39.375,139.733,22.281,346.406,1216.627,524.085,498.609,ok,
nano_only,8,ec346f23-7faa-4c96-9bdf-eea0c43cc465,1788350195.255679,1788350196.2707553,nano,etri-dev0001-jetorn,policy:nano_only,0,0,35.143,,,41.658,39.5,560.15,18.553,260.058,1130.279,1015.075,989.475,ok,
nano_only,8,304f6d77-d7c2-4d22-91b6-4800caaee4e5,1788350195.4141357,1788350196.9036665,nano,etri-dev0001-jetorn,policy:nano_only,0,0,0.0,,,41.71,39.343,951.885,15.088,441.156,1311.377,1489.529,1481.596,ok,
nano_only,8,a286ca15-d0b2-46dd-949c-44570c081136,1788350195.5103633,1788350197.4973054,nano,etri-dev0001-jetorn,policy:nano_only,0,0,0.0,,,41.658,39.718,1471.934,15.866,445.843,1316.064,1986.94,1977.979,ok,
nano_only,8,f9f24da5-4957-4dfc-947b-f488bf0e2ae4,1788350195.5111008,1788350197.8809226,nano,etri-dev0001-jetorn,policy:nano_only,0,0,0.0,,,41.71,39.718,2060.225,26.874,451.309,1321.53,2369.821,2354.878,ok,
nano_only,8,c8548a6f-19a1-41e9-aaf7-a756ebd91bb9,1788350195.5108993,1788350198.2495518,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.658,39.375,2408.061,26.379,453.935,1324.156,2738.651,2715.768,ok,
nano_only,8,e8602161-ed09-4d03-a8d2-7a66f9c6b21b,1788350195.5149457,1788350198.6332784,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.658,39.343,2764.019,24.83,457.868,1328.089,3118.332,3088.015,ok,
nano_only,8,c1d37125-acb0-46dd-8e21-a7782ed61aab,1788350195.605503,1788350199.2114437,nano,etri-dev0001-jetorn,policy:nano_only,0,0,33.333,,,41.71,39.312,3220.007,21.384,452.605,1322.826,3605.939,3597.543,ok,
nano_only,16,c838ea9c-29c4-4c26-b2e5-b5acfac1b1ce,1788350201.849838,1788350202.521268,nano,etri-dev0001-jetorn,policy:nano_only,0,0,3.93,,,41.633,39.812,150.125,16.086,565.578,1082.606,671.427,640.479,ok,
nano_only,16,42b36394-a0e4-4d9d-a770-4d47c7fb03b4,1788350201.946346,1788350202.8968737,nano,etri-dev0001-jetorn,policy:nano_only,0,0,100.0,,,41.633,39.875,511.846,26.151,572.075,1089.103,950.526,817.787,ok,
nano_only,16,e8722f8c-db2e-4db1-97de-7ceded0a499b,1788350201.994197,1788350203.2732253,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.633,39.875,868.194,24.82,666.853,1183.881,1279.026,1190.819,ok,
nano_only,16,5b40978c-b1ea-4665-a127-aaace8961781,1788350202.0479496,1788350203.6208072,nano,etri-dev0001-jetorn,policy:nano_only,0,0,50.0,,,41.633,39.812,1231.917,27.363,660.741,1177.769,1572.857,1526.294,ok,
nano_only,16,e0a2c809-1fde-448f-9b77-56ee7e890003,1788350202.071327,1788350203.973912,nano,etri-dev0001-jetorn,policy:nano_only,0,0,,,,41.633,39.875,1580.129,27.232,703.159,1220.187,1902.584,1875.791,ok,
nano_only,16,237a457b-4325-4a18-ac24-ef20fc98acea,1788350202.0767813,1788350204.8586466,nano,etri-dev0001-jetorn,policy:nano_only,0,0,50.0,,,41.633,39.812,2359.263,20.329,661.059,1178.087,2781.864,2752.117,ok,
nano_only,16,5d1d252c-079b-4732-b0ec-3a0b4bca4e90,1788350202.0774443,1788350205.2728324,nano,etri-dev0001-jetorn,policy:nano_only,0,0,100.0,,,41.633,39.875,2824.263,23.382,704.348,1221.376,3195.387,3162.97,ok,
nano_only,16,54fe7701-ca73-49a6-b41d-57c5e379d114,1788350202.1122937,1788350205.6369631,nano,etri-dev0001-jetorn,policy:nano_only,0,0,0.0,,,41.633,39.875,3207.867,26.031,714.952,1231.98,3524.668,3513.916,ok,
