scenario,concurrency,request_id,timestamp,completed_timestamp,selected_node,physical_node,selection_reason,queue_length,active_requests,cpu_utilization_percent,gpu_utilization_percent,gpu_memory_utilization_percent,ram_utilization_percent,temperature_celsius,ttft_ms,tokens_per_second,rtt_ms,predicted_e2e_ms,actual_e2e_ms,worker_actual_e2e_ms,status,error
dynamic,8,05694003-e65d-4f53-93b0-4c5a404d0bb1,1788351036.101958,1788351043.9141283,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,0.0,,,42.128,39.468,7295.186,18.216,413.882,2913.882,7812.166,7732.567,ok,
dynamic,8,549dd080-7a03-437c-865a-f4d752a77deb,1788351036.1094627,1788351044.276022,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,,,,42.128,39.531,7793.881,26.692,523.66,3023.66,8166.556,8089.789,ok,
dynamic,8,bf08a001-c27e-4041-a4e0-957b9d20d9ab,1788351036.1102548,1788351044.6513944,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,,,,42.128,39.343,8151.328,25.526,517.345,3017.345,8541.138,8463.16,ok,
dynamic,8,c23069ce-412c-4992-9ff4-0d9289ee24d5,1788351036.223806,1788351045.050853,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,2.903,,,42.128,39.468,8450.433,24.646,620.682,3120.682,8827.046,8770.281,ok,
dynamic,8,6ce7c046-13db-4ad0-802f-aa6943737c54,1788351036.313513,1788351045.4385796,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,0.0,,,42.128,39.593,8822.146,26.79,617.497,3117.497,9125.065,9122.054,ok,
dynamic,8,305516fd-342c-4673-bcba-f5929b825675,1788351036.36522,1788351045.798994,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,,,,42.128,39.593,9134.077,26.895,704.463,3204.463,9433.773,9430.094,ok,
dynamic,8,d58ead7e-38f7-4505-b785-867b4550b3a2,1788351036.4529803,1788351046.2988424,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,33.333,,,42.128,39.593,9406.114,18.288,706.58,3206.58,9845.861,9841.912,ok,
dynamic,8,2d51723b-a2b3-459e-98c4-e2c0fd15de4e,1788351036.4537494,1788351046.6662183,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,0,0,0.0,,,42.128,39.531,9901.965,26.162,716.731,3216.731,10212.468,10209.148,ok,
dynamic,8,6049810b-29cf-4017-9610-a8608c380493,1788351044.0142725,1788351047.0256386,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,6,1,99.799,,,41.72,40.937,2699.905,26.683,39.336,30504.304,3011.365,2998.236,ok,
dynamic,8,407f6cea-8636-4243-b606-f61e3fb3037c,1788351044.356845,1788351047.4465182,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,6,1,99.535,,,41.726,41.062,2711.877,21.711,26.0,23597.544,3089.672,3078.77,ok,
dynamic,8,6c7de3fe-a4cf-4893-b6dc-f7ebb2144059,1788351046.358499,1788351047.738646,agx,etri-ser0001-cg0msb,offload:nano->agx:predicted_improvement=0.851,0,0,5.852,0.0,11.049,18.905,35.0,1203.389,46.002,10.964,1210.964,1380.146,1377.551,ok,
dynamic,8,e315fc5f-69c0-4fe2-a7bc-81b7a8f5fdda,1788351044.7349632,1788351047.8022015,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,6,1,100.0,,,41.726,41.187,2759.844,26.711,30.856,18460.832,3067.236,3058.177,ok,
dynamic,8,337ef9d2-022e-4ab2-9c75-07411d403713,1788351046.7061312,1788351047.9402869,agx,etri-ser0001-cg0msb,hold:agx:hysteresis_or_improvement_gate,0,1,5.257,0.0,11.049,17.865,65.0,1058.747,45.951,5.419,2405.419,1234.155,1233.295,ok,
dynamic,8,afc9d181-2ac7-4b6a-ae95-ee24eb6ad600,1788351045.103506,1788351048.1622145,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,6,1,98.75,,,41.726,41.343,2747.891,26.35,9.486,14624.694,3058.708,3051.629,ok,
dynamic,8,ce52d457-80dc-4f7c-af4b-3410da34725b,1788351045.5038955,1788351048.5272243,nano,etri-dev0001-jetorn,hold:nano:hysteresis_or_improvement_gate,6,1,99.561,,,41.693,41.375,2719.949,26.706,22.712,11759.0,3023.327,3015.848,ok,
