node,concurrency,blocks,requests,errors,error_rate,median_client_latency_ms,p95_client_latency_ms,median_ttft_ms,p95_ttft_ms,median_queue_wait_ms,p95_queue_wait_ms,median_tokens_per_second,mean_throughput_rps,min_throughput_rps,max_throughput_rps,p95_observed_queue_length,max_observed_queue_length,mean_cpu_percent,mean_ram_percent,max_temperature_celsius
spark,1,3,1630,0,0.0,21.904,23.78175,4.516,5.3301,0.002,0.003,540.358,45.24455368811397,44.18223038216504,46.15438521541774,0.0,0,9.427444444444443,27.536555555555555,69.05
spark,2,3,1805,0,0.0,39.686,42.467400000000005,22.485,24.405,18.035,19.653,542.557,50.00560778516919,49.84798200325914,50.13458963050547,1.0,1,10.054333333333334,27.52716666666667,67.05
spark,4,3,1799,0,0.0,79.637,85.3219,62.385,67.0295,57.88,62.310900000000004,541.638,49.704279679584175,49.44773128865079,50.16879924840333,3.0,3,10.194444444444445,27.509722222222223,67.05
spark,8,3,1806,0,0.0,159.321,170.40725,142.10500000000002,152.3315,137.5755,147.67225000000002,541.565,49.564164006429195,49.15524491772649,49.85923226791725,7.0,7,10.15322222222222,27.50058333333333,70.05
spark,16,3,1837,0,0.0,318.325,338.5748,300.892,319.95439999999996,296.395,315.2466,541.602,49.72106411641863,49.49915607515912,49.852177056511024,15.0,15,10.148388888888888,27.528333333333336,71.05
spark,32,3,1889,3,0.0015881418740074113,634.6505,674.31375,616.841,653.8815,612.383,649.24325,541.638,49.72093724993976,49.43747391224837,49.88864128589378,31.0,31,10.374307692307694,27.529487179487187,67.05
