actual_input_tokens,actual_output_tokens,block,cache_prompt,case,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens_requested,latency_ms,model,node,output_tokens_requested,partial_response,phase,physical_node,planned_at,pure_network_ms,request_id,requester,retry,run_id,selected_node,sent_at,server_timings,status,stop_type,tokens_cached,ttft_ms,zero_prefix_reuse_verified
512,128,0,False,,1789043683.0210974,,37.449572087035165,False,1789043679.6288018,0.010728836059570312,True,512,4277.380623999761,llama3.2:1b-instruct-q8_0,nano,128,True,warmup,etri-dev0001-jetorn,1789043678.743676,,warmup,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043678.7436867,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 879.629, ""prompt_per_token_ms"": 1.718025390625, ""prompt_per_second"": 582.0635745297164, ""predicted_n"": 128, ""predicted_ms"": 3391.227, ""predicted_per_token_ms"": 26.702574803149606, ""predicted_per_second"": 37.449572087035165}",ok,limit,639,885.0849549999111,True
128,64,0,False,i128-o64-c1,1789043684.7184527,1,39.40238465733685,False,1789043683.1192322,19.17433738708496,True,128,1673.6528970000109,llama3.2:1b-instruct-q8_0,nano,64,True,measure,etri-dev0001-jetorn,1789043683.0256257,,i128-o64-c1-0,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043683.0448,"{""cache_n"": 0, ""prompt_n"": 128, ""prompt_ms"": 71.947, ""prompt_per_token_ms"": 0.5620859375, ""prompt_per_second"": 1779.0873837686074, ""predicted_n"": 64, ""predicted_ms"": 1598.888, ""predicted_per_token_ms"": 25.3791746031746, ""predicted_per_second"": 39.40238465733685}",ok,limit,191,74.43252900020525,True
512,128,0,False,i512-o128-c8,1789043688.2545044,8,40.25004468705749,False,1789043685.0970707,1.5943050384521484,True,512,3443.198172999928,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-1,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.8113062,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 281.681, ""prompt_per_token_ms"": 0.550158203125, ""prompt_per_second"": 1817.6589830339997, ""predicted_n"": 128, ""predicted_ms"": 3155.276, ""predicted_per_token_ms"": 24.844692913385824, ""predicted_per_second"": 40.25004468705749}",ok,limit,639,285.76387700013584,True
512,128,0,False,i512-o128-c8,1789043691.6824489,8,40.401084148777784,False,1789043688.5368223,0.6570816040039062,True,512,6872.079715000382,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-0,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.810369,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 283.774, ""prompt_per_token_ms"": 0.55424609375, ""prompt_per_second"": 1804.2526799495372, ""predicted_n"": 128, ""predicted_ms"": 3143.48, ""predicted_per_token_ms"": 24.751811023622047, ""predicted_per_second"": 40.401084148777784}",ok,limit,639,3726.4533940001456,True
512,128,0,False,i512-o128-c8,1789043695.120643,8,40.27755357311057,False,1789043691.9652908,2.978086471557617,True,512,10307.95216100023,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-2,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.81269,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 283.76, ""prompt_per_token_ms"": 0.55421875, ""prompt_per_second"": 1804.341697208909, ""predicted_n"": 128, ""predicted_ms"": 3153.121, ""predicted_per_token_ms"": 24.82772440944882, ""predicted_per_second"": 40.27755357311057}",ok,limit,639,7152.600324000105,True
512,128,0,False,i512-o128-c8,1789043698.541022,8,40.48297786409896,False,1789043695.403372,4.865169525146484,True,512,13726.435473000038,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-4,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.814577,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 284.37, ""prompt_per_token_ms"": 0.55541015625, ""prompt_per_second"": 1800.4712170763441, ""predicted_n"": 128, ""predicted_ms"": 3137.121, ""predicted_per_token_ms"": 24.701740157480316, ""predicted_per_second"": 40.48297786409896}",ok,limit,639,10588.786088000234,True
512,128,0,False,i512-o128-c8,1789043701.9717455,8,40.39728021334853,False,1789043698.8272126,3.9212703704833984,True,512,17158.11223599985,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-3,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.8136332,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 285.473, ""prompt_per_token_ms"": 0.557564453125, ""prompt_per_second"": 1793.5146230992073, ""predicted_n"": 128, ""predicted_ms"": 3143.776, ""predicted_per_token_ms"": 24.754141732283465, ""predicted_per_second"": 40.39728021334853}",ok,limit,639,14013.579980000031,True
512,128,0,False,i512-o128-c8,1789043705.4124942,8,40.232779895014616,False,1789043702.2544012,10.140180587768555,True,512,20592.642225000418,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-6,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.819852,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 283.436, ""prompt_per_token_ms"": 0.5535859375, ""prompt_per_second"": 1806.4042676300824, ""predicted_n"": 128, ""predicted_ms"": 3156.63, ""predicted_per_token_ms"": 24.85535433070866, ""predicted_per_second"": 40.232779895014616}",ok,limit,639,17434.54879700039,True
512,128,0,False,i512-o128-c8,1789043708.845793,8,40.35856198948008,False,1789043705.6973875,17.80104637145996,True,512,24018.279206999978,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-7,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.827513,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 285.565, ""prompt_per_token_ms"": 0.557744140625, ""prompt_per_second"": 1792.936809482955, ""predicted_n"": 128, ""predicted_ms"": 3146.792, ""predicted_per_token_ms"": 24.777889763779527, ""predicted_per_second"": 40.35856198948008}",ok,limit,639,20869.873522000034,True
512,128,0,False,i512-o128-c8,1789043712.2856379,8,40.25075905959014,False,1789043709.129122,7.241964340209961,True,512,27468.683617999886,llama3.2:1b-instruct-q8_0,nano,128,True,measure,etri-dev0001-jetorn,1789043684.809712,,i512-o128-c8-5,etri-dev0001-jetorn,False,workload,etri-dev0001-jetorn,1789043684.816954,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 284.352, ""prompt_per_token_ms"": 0.555375, ""prompt_per_second"": 1800.585190186811, ""predicted_n"": 128, ""predicted_ms"": 3155.22, ""predicted_per_token_ms"": 24.844251968503936, ""predicted_per_second"": 40.25075905959014}",ok,limit,639,24312.167966999823,True
