activation_required,activation_time_ms,active_requests,actual_latency_ms,candidate_predicted_e2e_ms,completed_timestamp,concurrency,cpu_utilization_percent,event,experiment,gpu_measurement_attributable,gpu_memory_used_mib,gpu_utilization_percent,inference_process_rss_mib,method,model_cache_bytes,model_load_ms,model_remote_download_ms,node_state_before,phase,physical_node,placement_mode,predicted_e2e_ms,queue_length,ram_utilization_percent,ready_timestamp,request_id,requested_concurrency,rtt_ms,selected_node,selection_reason,status,temperature_celsius,timestamp,tokens_per_second,ttft_ms,worker_actual_e2e_ms,worker_start_ms
False,0.0,0,724.94,"{""agx"": 5233.808, ""nano"": 405.092, ""spark"": 5220.378}",1788494571.9764726,1,12.5,request_completed,single,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,405.092,0,42.166,,32f0f1e9-a2ab-410c-bd06-ebd0acce87b0,1,28.405,nano,hold:nano:hysteresis_or_improvement_gate,ok,37.656,1788494571.2515326,18.174,142.714,581.604,0.0
True,40646.331,0,41019.212,"{""agx"": 5228.963, ""nano"": 451.168, ""spark"": 5225.414}",1788494613.1499634,1,0.0,request_completed,activation_agx,False,871.0,0.0,0.0,cold_on_demand,0,1132.84,39507.39,COLD,first_offload,etri-ser0001-cg0msb,static,5228.963,0,18.229,1788494612.9076734,82439a2e-59d5-4e03-8d90-959b2df29d39,1,28.664,agx,policy:static:agx,ok,35.0,1788494572.1307507,45.618,53.933,229.706,1.254
True,38465.279,0,38842.388,"{""agx"": 40875.717, ""nano"": 455.946, ""spark"": 5222.617}",1788494652.3141093,1,0.0,request_completed,activation_spark,False,286.0,0.0,0.0,cold_on_demand,0,1174.719,37285.098,COLD,first_offload,etri-ser0002-cgnmsb,static,5222.617,0,25.074,1788494652.0243669,c8b39d35-9280-44be-ada8-8c8e800e09dc,1,18.992,spark,policy:static:spark,ok,45.05,1788494613.4717197,46.011,85.473,260.297,0.169
False,0.0,0,616.952,"{""agx"": 40861.401, ""nano"": 456.476, ""spark"": 38694.139}",1788494653.2292337,1,,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,456.476,0,42.168,,582ef8c0-1317-46f9-b84b-d389072a140e,1,28.565,nano,hold:nano:hysteresis_or_improvement_gate,ok,37.437,1788494652.6122823,20.496,139.844,531.12,0.0
False,0.0,0,466.162,"{""agx"": 40872.565, ""nano"": 469.004, ""spark"": 38693.241}",1788494653.6996756,1,92.562,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,469.004,0,42.171,,94a8be7c-5a41-4fb5-b4bf-1878832f4c78,1,15.295,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.343,1788494653.2335129,24.817,69.941,393.577,0.0
False,0.0,0,439.918,"{""agx"": 40862.096, ""nano"": 460.147, ""spark"": 38695.634}",1788494654.1404066,1,66.667,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,460.147,0,42.175,,5400754a-74a2-46e1-987e-5ac0abd5ce3d,1,21.474,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.687,1788494653.7004879,25.89,71.136,382.701,0.0
False,0.0,0,460.554,"{""agx"": 40864.173, ""nano"": 440.778, ""spark"": 38700.0}",1788494654.6018252,1,89.394,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,440.778,0,42.174,,15a2db7e-7d17-41bf-bd3e-504a3c5fa604,1,16.101,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.062,1788494654.141272,24.585,67.464,394.903,0.0
False,0.0,0,505.211,"{""agx"": 40875.137, ""nano"": 436.133, ""spark"": 38703.329}",1788494655.1109388,1,87.633,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,436.133,0,42.176,,34c3ee19-ef74-4ed7-ac00-bb9c6cec04a1,1,18.903,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.687,1788494654.6057262,22.602,62.754,416.552,0.0
False,0.0,0,431.259,"{""agx"": 40875.304, ""nano"": 432.764, ""spark"": 38701.781}",1788494655.5448444,1,98.953,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,432.764,0,42.176,,cb0260fe-07cf-447b-89ee-fa39b01dfae4,1,15.707,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.312,1788494655.113584,27.112,51.005,346.672,0.0
False,0.0,0,451.513,"{""agx"": 40873.83, ""nano"": 414.426, ""spark"": 38694.842}",1788494656.0001037,1,82.375,request_completed,increasing,False,,,1659.754,cold_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,414.426,0,42.176,,b0fe0ea3-0538-4e35-86f9-ae48428d96f7,1,14.968,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.406,1788494655.548589,25.477,53.048,368.662,0.0
