node,concurrency,blocks,requests,errors,error_rate,median_client_latency_ms,p95_client_latency_ms,median_ttft_ms,p95_ttft_ms,median_queue_wait_ms,p95_queue_wait_ms,median_tokens_per_second,mean_throughput_rps,min_throughput_rps,max_throughput_rps,p95_observed_queue_length,max_observed_queue_length,mean_cpu_percent,mean_ram_percent,max_temperature_celsius
agx,1,3,173,0,0.0,208.096,221.8706,27.875,29.969800000000003,0.004,0.005,44.96,4.766045091673295,4.7380195008549135,4.804974601067698,0.0,0,39.61988888888889,19.769972222222222,86.0
agx,2,3,176,0,0.0,415.8335,447.057,234.02,251.90675,205.601,222.60325,44.6145,4.768508375827316,4.65182457608817,4.856760929260067,1.0,1,39.3585,19.766972222222222,78.0
agx,4,3,180,0,0.0,837.5335,880.7993999999999,653.6595,690.01235,624.877,661.745,44.2795,4.740722867563716,4.732870241265606,4.7495013092548835,3.0,3,40.04013888888889,19.85288888888889,91.0
agx,8,3,195,0,0.0,1649.754,1712.7134,1468.037,1527.7465,1440.334,1499.7118,44.889,4.783493117256914,4.755911601755036,4.8038828051732985,7.0,7,39.31874358974358,19.82920512820513,87.0
agx,16,3,217,0,0.0,3342.312,3440.9175999999998,3158.855,3232.0912,3130.385,3202.0744,44.547,4.767100843443866,4.750838912976693,4.781821966356724,15.0,15,39.925022222222225,19.79951111111111,84.0
agx,32,3,267,4,0.0149812734082397,6603.579,7184.1125,6398.62,6948.6781,6369.843,6920.0178,43.859,4.701570172599897,4.531589693995015,4.8213774423998705,31.0,31,42.2795,19.847480769230767,88.0
nano,1,3,89,0,0.0,388.082,572.0282,58.434,199.40939999999995,0.011,0.014,25.661,2.422208092234385,2.3806580862505893,2.454380782393718,0.0,0,89.34236363636364,42.22527272727273,45.5
nano,2,3,94,0,0.0,762.804,981.9561499999994,431.9385,640.7044499999997,371.426,528.42335,25.052,2.5249107881153336,2.4105914423539416,2.5833867137070947,1.0,1,91.08184848484848,42.235151515151514,45.0
nano,4,3,100,0,0.0,1520.5425,1915.7657000000002,1189.473,1503.51145,1119.4825,1430.5159,25.344,2.5107445307782386,2.45339977261939,2.582333315164848,3.0,3,92.10019444444443,42.22033333333333,45.062
nano,8,3,112,0,0.0,3040.7740000000003,3593.25835,2710.0885,3238.81675,2645.621,3170.65695,25.439500000000002,2.4774247603985122,2.3554455090617337,2.5424002470306797,7.0,7,92.211375,42.2441,43.843
nano,16,3,127,0,0.0,6240.266,8748.0959,5883.913,8299.8195,5814.46,8247.2402,25.384,2.2921755280625344,2.1023077094376137,2.5444184738057536,15.0,15,92.91104,42.264979999999994,43.843
nano,32,3,207,30,0.14492753623188406,12032.417,14917.9594,10784.428,14580.6096,10731.983,14517.411,25.222,2.37507035389848,2.243325040656651,2.4948643445142626,31.0,31,94.52601515151514,42.31765151515152,45.25
spark,1,3,172,0,0.0,211.063,215.38455,30.4835,33.45305,0.012,0.014,45.980000000000004,4.747407936612307,4.728938170041603,4.76996715743135,0.0,0,17.614027777777775,29.456694444444445,61.05
spark,2,3,177,0,0.0,414.115,420.0894,233.996,238.2706,202.255,206.048,45.99,4.823635557562569,4.8167032030352726,4.835093159934976,1.0,1,17.252166666666668,29.450555555555557,69.05
spark,4,3,184,0,0.0,827.8475000000001,834.16895,647.5115000000001,652.77265,616.1165,621.67245,46.0,4.827738627387492,4.813473482878701,4.839672717655357,3.0,3,17.314916666666665,29.42866666666667,67.05
spark,8,3,195,0,0.0,1656.576,1672.2203,1474.865,1490.905,1444.411,1459.0734,45.935,4.820940340826728,4.802130067048279,4.831946376992322,7.0,7,17.825358974358977,29.42764102564103,68.05
spark,16,3,220,0,0.0,3307.0145,3335.7599,3125.296,3152.8091999999997,3094.4750000000004,3121.1073,46.012,4.826562924726577,4.813976156538085,4.842267738670913,15.0,15,18.020227272727272,29.418522727272727,65.05
spark,32,3,281,13,0.046263345195729534,6603.763,6860.258049999999,6417.3925,6455.3266,6386.683,6423.7193,46.019999999999996,4.828272096442576,4.8256440267693,4.832788880344718,31.0,31,17.871129629629632,29.382907407407416,69.05
