activation_required,activation_time_ms,active_requests,actual_latency_ms,candidate_predicted_e2e_ms,completed_timestamp,concurrency,cpu_utilization_percent,event,experiment,gpu_measurement_attributable,gpu_memory_used_mib,gpu_utilization_percent,inference_process_rss_mib,method,model_cache_bytes,model_load_ms,model_remote_download_ms,node_state_before,phase,physical_node,placement_mode,predicted_e2e_ms,queue_length,ram_utilization_percent,ready_timestamp,request_id,requested_concurrency,rtt_ms,selected_node,selection_reason,status,temperature_celsius,timestamp,tokens_per_second,ttft_ms,worker_actual_e2e_ms,worker_start_ms
False,0.0,0,906.198,"{""agx"": 2437.192, ""nano"": 2532.892, ""spark"": 1821.973}",1788493074.7439299,1,0.0,request_completed,single,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,2532.892,0,42.001,,bb97ee5f-a45e-405b-87c1-adfecc60ae58,1,32.892,nano,hold:nano:hysteresis_or_improvement_gate,ok,37.156,1788493073.837732,18.752,319.738,743.095,0.0
True,1187.222,0,1535.747,"{""agx"": 2428.283, ""nano"": 2082.018, ""spark"": 1824.965}",1788493076.4322987,1,5.742,request_completed,activation_agx,False,871.0,0.0,0.0,cached_on_demand,1321098329,1181.609,0.0,CACHED,first_offload,etri-ser0001-cg0msb,static,2428.283,0,18.2,1788493076.1951458,1ac4513e-9153-4562-8b7e-118b834c5eca,1,27.42,agx,policy:static:agx,ok,35.0,1788493074.8965507,47.078,54.345,224.678,1.092
True,1187.079,0,1609.976,"{""agx"": 2182.224, ""nano"": 2089.232, ""spark"": 1821.01}",1788493078.2545578,1,1.955,request_completed,activation_spark,False,286.0,0.0,0.0,cached_on_demand,1321098329,1182.687,0.0,CACHED,first_offload,etri-ser0002-cgnmsb,static,1821.01,0,24.989,1788493077.988979,f230e112-1807-4df6-b943-d1be325e88cc,1,21.01,spark,policy:static:spark,ok,37.05,1788493076.6445801,46.074,85.052,260.239,0.38
False,0.0,0,835.607,"{""agx"": 2157.553, ""nano"": 2087.009, ""spark"": 1867.848}",1788493079.2239156,1,50.0,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,2087.009,0,42.008,,3dd90664-6058-49ac-92c1-c1e05045d6d3,1,26.25,nano,hold:nano:hysteresis_or_improvement_gate,ok,37.281,1788493078.388309,13.054,124.119,739.11,0.0
False,0.0,0,598.713,"{""agx"": 2173.695, ""nano"": 1746.295, ""spark"": 1869.284}",1788493079.8261707,1,89.738,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,1746.295,0,42.008,,d07164ee-c399-4858-a323-a93b5c4084dc,1,15.961,nano,hold:nano:hysteresis_or_improvement_gate,ok,37.968,1788493079.2274554,18.056,71.717,513.757,0.0
False,0.0,0,452.319,"{""agx"": 2163.211, ""nano"": 1441.757, ""spark"": 1869.532}",1788493080.2804623,1,98.378,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,1441.757,0,42.011,,e575588b-393c-4a07-b7bf-872969f49886,1,15.571,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.5,1788493079.8281791,25.943,69.441,377.244,0.0
False,0.0,0,484.052,"{""agx"": 2175.697, ""nano"": 1179.912, ""spark"": 1868.465}",1788493080.7679923,1,84.615,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,1179.912,0,42.007,,af1e0b83-e9dd-4261-bdad-4bf9792fda5a,1,15.964,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.593,1788493080.28394,24.001,60.31,396.051,0.0
False,0.0,0,416.315,"{""agx"": 2166.032, ""nano"": 988.397, ""spark"": 1860.059}",1788493081.1878734,1,93.22,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,988.397,0,42.007,,eb1663a3-eb7f-4f45-946b-03093fecc5a2,1,16.427,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.843,1788493080.7715578,27.018,53.86,349.792,0.0
False,0.0,0,457.308,"{""agx"": 2170.724, ""nano"": 831.951, ""spark"": 1870.771}",1788493081.6479547,1,86.056,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,831.951,0,42.007,,ef2a0f80-fbc8-4de1-9c44-9fdabfdfa09c,1,15.528,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.875,1788493081.190646,26.104,65.566,377.341,0.0
False,0.0,0,548.135,"{""agx"": 2172.57, ""nano"": 720.38, ""spark"": 1860.463}",1788493082.19883,1,83.456,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,720.38,0,42.007,,59538160-bc38-48d4-9590-0d8855b1146d,1,13.731,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.906,1788493081.6506946,24.268,146.12,476.567,0.0
False,0.0,0,446.257,"{""agx"": 2169.323, ""nano"": 663.402, ""spark"": 1868.324}",1788493082.648741,1,99.142,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,663.402,0,42.004,,5554e314-f743-436c-bbd2-21f903cac42f,1,14.276,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.031,1788493082.2024837,26.154,63.844,368.336,0.0
False,0.0,0,511.124,"{""agx"": 2171.416, ""nano"": 596.827, ""spark"": 1862.074}",1788493083.163409,1,89.062,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,596.827,0,42.009,,014a9fb8-2973-4f33-9c71-ff2d56585415,1,17.901,nano,hold:nano:hysteresis_or_improvement_gate,ok,38.843,1788493082.6522837,24.36,104.938,436.47,0.0
False,0.0,0,442.507,"{""agx"": 2167.075, ""nano"": 556.146, ""spark"": 1862.449}",1788493083.6070695,1,96.8,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,556.146,0,42.009,,d0d3a929-ce62-4ba6-ae0e-151b786f7992,1,12.837,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.093,1788493083.1645615,25.95,73.167,376.414,0.0
False,0.0,0,451.628,"{""agx"": 2157.34, ""nano"": 518.112, ""spark"": 1870.148}",1788493084.059552,1,86.466,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,518.112,0,42.009,,af6c63be-99e8-457d-8ae1-cb9d93d3255e,1,16.53,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.468,1788493083.6079242,24.419,67.376,394.259,0.0
False,0.0,0,418.442,"{""agx"": 2162.907, ""nano"": 490.615, ""spark"": 1866.19}",1788493084.4815285,1,89.377,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,490.615,0,42.009,,b6ccb15d-932b-4206-a825-0eb5a1687dce,1,15.866,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.156,1788493084.0630856,27.022,55.252,352.445,0.0
False,0.0,0,432.756,"{""agx"": 2170.805, ""nano"": 459.616, ""spark"": 1869.111}",1788493084.9178162,1,95.133,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,459.616,0,42.009,,acda2e8f-d49c-423b-ba07-8beb221f9204,1,15.446,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.218,1788493084.4850588,26.965,53.301,350.969,0.0
False,0.0,0,458.63,"{""agx"": 2171.579, ""nano"": 438.051, ""spark"": 1870.835}",1788493085.3799138,1,82.576,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,438.051,0,42.008,,69b5c6c6-b18d-4435-8ccb-d5d944cc24fa,1,17.184,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.343,1788493084.921283,24.927,56.041,375.819,0.0
False,0.0,0,444.648,"{""agx"": 2174.849, ""nano"": 424.94, ""spark"": 1868.058}",1788493085.8281274,1,96.923,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,424.94,0,42.008,,934f81a0-15e5-4e4a-8c70-2c42f4fdd8b5,1,15.338,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.656,1788493085.383478,26.264,58.249,362.22,0.0
False,0.0,0,475.135,"{""agx"": 2168.631, ""nano"": 415.005, ""spark"": 1871.776}",1788493086.306773,1,82.593,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,415.005,0,42.007,,1048417d-ab03-44c9-a398-31a8cac9828c,1,17.252,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.625,1788493085.8316367,24.696,73.695,392.225,0.0
False,0.0,0,513.13,"{""agx"": 2179.209, ""nano"": 415.393, ""spark"": 1876.287}",1788493086.8236446,1,84.806,request_completed,increasing,False,,,1656.379,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,415.393,0,42.002,,2ec0feb4-80f7-4a46-88fd-d3efd4ec83c0,1,19.025,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.718,1788493086.310514,23.155,59.493,407.229,0.0
False,0.0,0,477.112,"{""agx"": 2170.755, ""nano"": 415.629, ""spark"": 1860.459}",1788493087.3028228,1,94.872,request_completed,increasing,False,,,1657.801,cached_on_demand,1321098329,0.0,0.0,ACTIVE,concurrency_1,etri-dev0001-jetorn,dynamic,415.629,0,42.03,,c85d0600-aa7f-4767-b86e-f5ef6cdfa380,1,16.549,nano,hold:nano:hysteresis_or_improvement_gate,ok,39.468,1788493086.8257108,23.207,51.797,399.559,0.0
