method,node,nano_service_ms,remote_inference_plus_rtt_ms,saved_ms_per_request,activation_ms,break_even_requests,break_even_nano_time_seconds
Cold On-Demand,AGX,455.85627272727277,258.37,197.48627272727276,40646.331,206,93.90639218181819
Cold On-Demand,SPARK,455.85627272727277,279.28900000000004,176.56727272727272,38465.279,218,99.37666745454545
Cached On-Demand,AGX,455.85627272727277,252.098,203.75827272727275,1187.222,6,2.7351376363636364
Cached On-Demand,SPARK,455.85627272727277,281.24899999999997,174.6072727272728,1187.079,7,3.1909939090909094
