request_id,method,selected_node,requested_concurrency,nano_expected_ms,activation_time_ms,rtt_ms,worker_actual_e2e_ms,offload_cost_ms,offloading_gain_ms,beneficial
1ac4513e-9153-4562-8b7e-118b834c5eca,cached_on_demand,agx,1,,1187.222,27.42,224.678,1439.3200000000002,,False
f230e112-1807-4df6-b943-d1be325e88cc,cached_on_demand,spark,1,,1187.079,21.01,260.239,1468.328,,False
187c84ea-f288-4fc0-84d1-f3d9b442156b,cached_on_demand,agx,8,,1249.991,19.411,278.499,1547.901,,False
aeb895b8-013c-4ede-ab9e-b712db17e5b7,cached_on_demand,agx,8,,0.0,8.382,355.868,364.25,,False
f20582d1-9b3f-4feb-9b44-9c42816673a7,cached_on_demand,agx,8,,0.0,9.53,516.021,525.5509999999999,,False
f45e569a-a02f-4e2e-a808-eeb99f06f881,cached_on_demand,agx,8,,0.0,9.207,573.304,582.511,,False
4d4092db-012f-4604-a4ef-84cbb9a3f078,cached_on_demand,agx,8,,0.0,10.933,648.939,659.872,,False
b8e818af-8d82-44c5-ad9b-b7d0f680599c,cached_on_demand,agx,8,,0.0,10.004,722.281,732.285,,False
c289f78d-bd87-4028-a4ed-5d67334e0255,cached_on_demand,agx,8,,0.0,9.588,789.471,799.059,,False
cf7135b3-c44a-44e9-8b2f-0850e996082a,cached_on_demand,agx,8,,0.0,10.831,867.257,878.088,,False
407db525-d156-4bdb-b46f-d94b233d8e38,cached_on_demand,agx,8,,0.0,9.395,1017.796,1027.191,,False
7b23a507-5fb8-4604-80c2-1d0fef0b9ba8,cached_on_demand,agx,8,,0.0,8.21,1171.911,1180.121,,False
d271c5f0-b434-4210-a4d2-e1a9e923fb67,cached_on_demand,agx,8,,0.0,10.268,1153.336,1163.604,,False
73fe5f2d-d71c-476a-9711-9d6449a17448,cached_on_demand,agx,8,,0.0,10.134,1219.34,1229.474,,False
ae5190b4-ad20-47c8-80a4-baa99d19888c,cached_on_demand,agx,8,,0.0,11.581,1306.322,1317.9029999999998,,False
1603b250-2b97-4a12-a69b-4f6bfbc42591,cached_on_demand,agx,8,,0.0,9.758,1356.561,1366.319,,False
c69f2106-8c53-4fd1-836a-d50f09cf87f0,cached_on_demand,agx,8,,0.0,8.935,1519.325,1528.26,,False
9eb4b702-8fe3-4791-8059-5a99722a4d45,cached_on_demand,agx,8,,0.0,9.857,1578.853,1588.71,,False
463860cd-b3c6-4d91-b733-c70b83ea1542,cached_on_demand,agx,8,,0.0,7.884,1575.585,1583.469,,False
8c3e0970-121b-44cc-8e99-654bc8c2ac87,cached_on_demand,agx,8,,0.0,9.528,1571.249,1580.777,,False
7fa4162c-fab2-41e2-a916-b67dba931355,cached_on_demand,agx,8,,0.0,10.355,1563.733,1574.088,,False
97f3aaf1-964f-4254-8e11-56c4aae1dc2f,cached_on_demand,agx,8,,0.0,10.819,1555.71,1566.529,,False
dd170843-2b7c-4b8f-a9a0-e305b1a8c381,cached_on_demand,agx,8,,0.0,8.964,1554.153,1563.117,,False
59a7fd29-cb78-4d47-a461-32ec226ec042,cached_on_demand,agx,8,,0.0,9.584,1546.355,1555.939,,False
27ffcc67-3af1-4c6f-98fc-bc57f40c952e,cached_on_demand,agx,8,,0.0,9.14,1541.075,1550.2150000000001,,False
5be94f58-72a2-4a16-bda8-6263e51cae59,cached_on_demand,agx,8,,0.0,9.012,1552.309,1561.321,,False
7fcdeb80-6090-4372-b4a0-bdd02fddbdc8,cached_on_demand,agx,8,,0.0,9.011,1547.096,1556.107,,False
798f84f2-6d4f-4162-8c02-82efc9f50323,cached_on_demand,agx,8,,0.0,9.879,1546.248,1556.127,,False
32fa0a3e-2690-4c07-a7fa-01293669c2bc,cached_on_demand,agx,8,,0.0,10.077,1534.583,1544.66,,False
ca7db6a7-589c-4d45-a29b-1721f1cf8145,cached_on_demand,agx,8,,0.0,9.231,1530.713,1539.944,,False
74edd631-79d9-43df-98cf-af806b6c289a,cached_on_demand,agx,8,,0.0,9.849,1542.987,1552.836,,False
44608f83-ca0f-4317-95f0-9551e3ddb4e8,cached_on_demand,agx,8,,0.0,10.479,1536.159,1546.6380000000001,,False
beb7fb8b-fd97-4918-ad1f-f44b7d7ac830,cached_on_demand,agx,8,,0.0,9.862,1533.24,1543.102,,False
5c8a9304-5416-47f2-ab54-06f60d7d3d93,cached_on_demand,agx,8,,0.0,8.653,1540.746,1549.3990000000001,,False
0abcc26b-e0cd-4f94-95e5-816716255ca9,cached_on_demand,agx,8,,0.0,9.278,1510.339,1519.617,,False
cbecac7b-1698-4268-a140-2229cbf7e24c,cached_on_demand,agx,8,,0.0,10.239,1533.728,1543.967,,False
2f13cb05-c84b-4615-b552-314a3e421b68,cached_on_demand,agx,8,,0.0,9.428,1540.717,1550.1450000000002,,False
c0814c56-dcdd-4c2a-b7d5-fde202f974fb,cached_on_demand,agx,8,,0.0,9.277,1549.533,1558.81,,False
9e7c77b5-bdbd-457e-928d-b40c85bdbcd3,cached_on_demand,agx,8,,0.0,9.272,1538.007,1547.279,,False
0fc11ca1-d657-43a8-8ec8-74d27f1e4d8d,cached_on_demand,agx,8,,0.0,9.163,1557.857,1567.02,,False
543f16aa-5e61-4310-9100-0083d457b515,cached_on_demand,agx,8,,0.0,10.708,1559.427,1570.135,,False
b65a5a17-b059-43c8-af54-37d4150e1eb7,cached_on_demand,agx,8,,0.0,8.113,1558.412,1566.525,,False
8c9973fb-4f7c-4d83-9533-06bbacbddc5a,cached_on_demand,agx,8,,0.0,9.895,1566.37,1576.2649999999999,,False
b4a355ce-8eb0-44ee-8095-7f1aacb8eb5e,cached_on_demand,agx,8,,0.0,9.648,1575.092,1584.74,,False
93846fcb-fb45-4a02-be45-baa6e72946fa,cached_on_demand,agx,8,,0.0,8.992,1571.689,1580.681,,False
8f859317-294d-4015-8bc3-17a168094507,cached_on_demand,agx,8,,0.0,9.913,1592.764,1602.677,,False
de2968ec-9478-4d34-9098-5a0e852adb90,cached_on_demand,agx,8,,0.0,9.819,1594.157,1603.9759999999999,,False
d92a0356-2fae-4f8f-9bf3-b0e01267fefc,cached_on_demand,agx,8,,0.0,8.714,1593.342,1602.056,,False
ffcc0baf-5e1a-44b3-b654-90dc2dac91ea,cached_on_demand,agx,8,,0.0,11.214,1571.559,1582.773,,False
57d05352-c9d4-4f7e-977c-5155a7a45f86,cached_on_demand,agx,8,,0.0,9.618,1575.923,1585.541,,False
0f6410f9-8596-423f-a5b0-ad609fe06552,cached_on_demand,agx,8,,0.0,10.79,1559.68,1570.47,,False
07e1f3ff-2123-4595-943f-126a86f04860,cached_on_demand,agx,8,,0.0,10.18,1559.233,1569.413,,False
4556688b-7352-4b02-964b-e232d020a981,cached_on_demand,agx,8,,0.0,10.822,1538.805,1549.627,,False
4ccd4f76-5661-4fff-bb45-8e947cb81ba1,cached_on_demand,agx,8,,0.0,9.862,1531.108,1540.97,,False
5d94b580-f1f7-4e18-a7fe-fcb996b05a33,cached_on_demand,agx,8,,0.0,8.522,1543.314,1551.836,,False
a730a4ab-54cc-4ce5-bed2-1e9666044db9,cached_on_demand,agx,8,,0.0,9.696,1536.152,1545.848,,False
e8332766-caea-4f82-a1a4-88cb6d8d167c,cached_on_demand,agx,8,,0.0,10.086,1524.716,1534.802,,False
416379fd-bf4e-4815-88cd-79f04e8cf571,cached_on_demand,agx,8,,0.0,9.95,1524.527,1534.477,,False
9ba127b9-61f9-4573-81d5-6ae2393f158c,cached_on_demand,agx,8,,0.0,9.988,1529.661,1539.6490000000001,,False
3757f369-37a9-4f09-b698-2a1d8ec1a0f1,cached_on_demand,agx,8,,0.0,9.425,1525.494,1534.9189999999999,,False
311d8ea1-40f7-4307-a6de-15e001f010b0,cached_on_demand,agx,8,,0.0,9.458,1548.858,1558.316,,False
011e1242-424f-4cac-8593-d5d23b306686,cached_on_demand,agx,8,,0.0,10.26,1544.187,1554.447,,False
0dfe812e-470d-46bc-8449-d33f206d5b2c,cached_on_demand,agx,8,,0.0,9.527,1560.692,1570.219,,False
ef3d7db8-1fee-4b5e-9c96-918647fe7764,cached_on_demand,agx,8,,0.0,10.337,1566.861,1577.198,,False
e31b7799-80df-4b9c-80f0-f0f1464a64f5,cached_on_demand,agx,16,,0.0,7.679,213.664,221.343,,False
1ef8ff75-6ff8-4496-b82d-059723fbbe8b,cached_on_demand,agx,16,,0.0,9.006,369.974,378.98,,False
44920b4f-6f92-486e-93a9-df4907465d6e,cached_on_demand,agx,16,,0.0,9.039,518.969,528.008,,False
59f9a420-36bd-4ac2-86ee-945788cf1694,cached_on_demand,agx,16,,0.0,10.046,653.023,663.0690000000001,,False
