actual_input_tokens,actual_output_tokens,block,cache_prompt,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens_requested,latency_ms,matched_comparison,method,output_tokens_requested,partial_response,phase,planned_at,pure_network_ms,request_id,requester,retry,route,run_id,selected_node,sent_at,server_timings,status,stop_type,tokens_cached,ttft_ms,zero_prefix_reuse_verified
512,128,0,False,1788768822.9658537,1,256.22971094464026,False,1788768822.4695234,3.8428306579589844,True,512,548.3604171313345,True,ready-route-paired,128,True,measure,1788768822.4136505,,b0-c1-remote-0,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768822.4174933,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 49.089, ""prompt_per_token_ms"": 0.095876953125, ""prompt_per_second"": 10430.035242111268, ""predicted_n"": 128, ""predicted_ms"": 495.649, ""predicted_per_token_ms"": 3.902748031496063, ""predicted_per_second"": 256.22971094464026}",ok,limit,639,52.030990133062005,True
512,128,0,False,1788768826.5786567,1,39.18298236796646,False,1788768823.33718,1.0783672332763672,True,512,3604.9991860054433,True,ready-route-paired,128,True,measure,1788768822.972578,,b0-c1-nano-0,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768822.9736564,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 359.652, ""prompt_per_token_ms"": 0.7024453125, ""prompt_per_second"": 1423.5983673106225, ""predicted_n"": 128, ""predicted_ms"": 3241.203, ""predicted_per_token_ms"": 25.521283464566928, ""predicted_per_second"": 39.18298236796646}",ok,limit,639,363.5231901425868,True
512,128,0,False,1788768827.1236484,2,256.53507965717216,False,1788768826.6279473,0.5991458892822266,True,512,541.6246890090406,True,ready-route-paired,128,True,measure,1788768826.5814245,,b0-c2-remote-0,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768826.5820236,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 42.065, ""prompt_per_token_ms"": 0.082158203125, ""prompt_per_second"": 12171.639129917985, ""predicted_n"": 128, ""predicted_ms"": 495.059, ""predicted_per_token_ms"": 3.8981023622047246, ""predicted_per_second"": 256.53507965717216}",ok,limit,639,45.924301026389,True
512,128,0,False,1788768827.6549308,2,257.5991756826378,False,1788768827.1614676,1.1730194091796875,True,512,1072.3334669601172,True,ready-route-paired,128,True,measure,1788768826.5814245,,b0-c2-remote-1,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768826.5825975,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 38.456, ""prompt_per_token_ms"": 0.075109375, ""prompt_per_second"": 13313.917204077386, ""predicted_n"": 128, ""predicted_ms"": 493.014, ""predicted_per_token_ms"": 3.882, ""predicted_per_second"": 257.5991756826378}",ok,limit,639,578.870597993955,True
512,128,0,False,1788768831.146949,2,40.92363681593483,False,1788768828.0424492,0.9329319000244141,True,512,3487.966425018385,True,ready-route-paired,128,True,measure,1788768827.6580498,,b0-c2-nano-1,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768827.6589828,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 380.447, ""prompt_per_token_ms"": 0.743060546875, ""prompt_per_second"": 1345.7853524932514, ""predicted_n"": 128, ""predicted_ms"": 3103.341, ""predicted_per_token_ms"": 24.43575590551181, ""predicted_per_second"": 40.92363681593483}",ok,limit,639,383.46786703914404,True
512,128,0,False,1788768834.5269594,2,40.952681916972466,False,1788768831.4251254,0.4572868347167969,True,512,6868.452007882297,True,ready-route-paired,128,True,measure,1788768827.6580498,,b0-c2-nano-0,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768827.658507,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 278.924, ""prompt_per_token_ms"": 0.5447734375, ""prompt_per_second"": 1835.625475039796, ""predicted_n"": 128, ""predicted_ms"": 3101.14, ""predicted_per_token_ms"": 24.418425196850393, ""predicted_per_second"": 40.952681916972466}",ok,limit,639,3766.618822934106,True
512,128,0,False,1788768837.923229,4,40.8830612463668,False,1788768834.8154852,1.0309219360351562,True,512,3392.842862987891,True,ready-route-paired,128,True,measure,1788768834.529355,,b0-c4-nano-1,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768834.530386,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 280.159, ""prompt_per_token_ms"": 0.547185546875, ""prompt_per_second"": 1827.533650534161, ""predicted_n"": 128, ""predicted_ms"": 3106.421, ""predicted_per_token_ms"": 24.460007874015748, ""predicted_per_second"": 40.8830612463668}",ok,limit,639,285.0999911315739,True
512,128,0,False,1788768841.3100245,4,40.900401403624485,False,1788768838.203741,0.4067420959472656,True,512,6780.262660002336,True,ready-route-paired,128,True,measure,1788768834.529355,,b0-c4-nano-0,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768834.5297618,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 280.969, ""prompt_per_token_ms"": 0.548767578125, ""prompt_per_second"": 1822.2650897429967, ""predicted_n"": 128, ""predicted_ms"": 3105.104, ""predicted_per_token_ms"": 24.44963779527559, ""predicted_per_second"": 40.900401403624485}",ok,limit,639,3673.9803040400147,True
512,128,0,False,1788768844.6987834,4,40.86014793947422,False,1788768841.5896316,2.1047592163085938,True,512,10167.323691071942,True,ready-route-paired,128,True,measure,1788768834.529355,,b0-c4-nano-3,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768834.5314598,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 280.384, ""prompt_per_token_ms"": 0.547625, ""prompt_per_second"": 1826.0671079662177, ""predicted_n"": 128, ""predicted_ms"": 3108.163, ""predicted_per_token_ms"": 24.47372440944882, ""predicted_per_second"": 40.86014793947422}",ok,limit,639,7058.172641089186,True
512,128,0,False,1788768848.0878913,4,40.86239604220346,False,1788768844.9792075,1.6531944274902344,True,512,13556.883170036599,True,ready-route-paired,128,True,measure,1788768834.529355,,b0-c4-nano-2,etri-dev0001-jetorn,False,nano,paired-nano-rtx5060ti-a,etri-dev0001-jetorn,1788768834.5310082,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 280.845, ""prompt_per_token_ms"": 0.548525390625, ""prompt_per_second"": 1823.069664761701, ""predicted_n"": 128, ""predicted_ms"": 3107.992, ""predicted_per_token_ms"": 24.472377952755906, ""predicted_per_second"": 40.86239604220346}",ok,limit,639,10448.20042187348,True
512,128,0,False,1788768848.6416051,4,256.506582322455,False,1788768848.14567,1.2454986572265625,True,512,549.8239931184798,True,ready-route-paired,128,True,measure,1788768848.0905359,,b0-c4-remote-2,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768848.0917814,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 50.449, ""prompt_per_token_ms"": 0.098533203125, ""prompt_per_second"": 10148.86320838867, ""predicted_n"": 128, ""predicted_ms"": 495.114, ""predicted_per_token_ms"": 3.898535433070866, ""predicted_per_second"": 256.506582322455}",ok,limit,639,53.889461094513535,True
512,128,0,False,1788768849.1763146,4,255.8580410944277,False,1788768848.6792264,0.8542537689208984,True,512,1084.9246978759766,True,ready-route-paired,128,True,measure,1788768848.0905359,,b0-c4-remote-1,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768848.0913901,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 38.508, ""prompt_per_token_ms"": 0.0752109375, ""prompt_per_second"": 13295.938506284407, ""predicted_n"": 128, ""predicted_ms"": 496.369, ""predicted_per_token_ms"": 3.9084173228346457, ""predicted_per_second"": 255.8580410944277}",ok,limit,639,587.8367649856955,True
512,128,0,False,1788768849.7086315,4,257.30638707389966,False,1788768849.214504,1.8877983093261719,True,512,1616.207913029939,True,ready-route-paired,128,True,measure,1788768848.0905359,,b0-c4-remote-3,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768848.0924237,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 38.591, ""prompt_per_token_ms"": 0.075373046875, ""prompt_per_second"": 13267.34212640253, ""predicted_n"": 128, ""predicted_ms"": 493.575, ""predicted_per_token_ms"": 3.8864173228346455, ""predicted_per_second"": 257.30638707389966}",ok,limit,639,1122.0815479755402,True
512,128,0,False,1788768850.240971,4,257.1480058880819,False,1788768849.7468588,0.4112720489501953,True,512,2150.023984024301,True,ready-route-paired,128,True,measure,1788768848.0905359,,b0-c4-remote-0,etri-dev0001-jetorn,False,remote,paired-nano-rtx5060ti-a,etri-ser0001-cg0msb,1788768848.0909472,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 38.585, ""prompt_per_token_ms"": 0.075361328125, ""prompt_per_second"": 13269.405209278217, ""predicted_n"": 128, ""predicted_ms"": 493.879, ""predicted_per_token_ms"": 3.8888110236220474, ""predicted_per_second"": 257.1480058880819}",ok,limit,639,1655.9122751932591,True
