2026/09/04 20:41:30.931, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
2026/09/04 20:41:31.432, NVIDIA GeForce RTX 5060 Ti, 16 %, 1764 MiB, P1
2026/09/04 20:41:31.933, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:32.433, NVIDIA GeForce RTX 5060 Ti, 3 %, 1764 MiB, P1
2026/09/04 20:41:32.933, NVIDIA GeForce RTX 5060 Ti, 4 %, 1764 MiB, P1
2026/09/04 20:41:33.433, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:33.933, NVIDIA GeForce RTX 5060 Ti, 3 %, 1764 MiB, P1
2026/09/04 20:41:34.433, NVIDIA GeForce RTX 5060 Ti, 23 %, 1764 MiB, P1
2026/09/04 20:41:34.933, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:35.433, NVIDIA GeForce RTX 5060 Ti, 19 %, 1764 MiB, P1
2026/09/04 20:41:35.933, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
2026/09/04 20:41:36.434, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:36.934, NVIDIA GeForce RTX 5060 Ti, 8 %, 1764 MiB, P1
2026/09/04 20:41:37.434, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
2026/09/04 20:41:37.934, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:38.434, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:38.934, NVIDIA GeForce RTX 5060 Ti, 2 %, 1764 MiB, P1
2026/09/04 20:41:39.434, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
2026/09/04 20:41:39.934, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:40.434, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
2026/09/04 20:41:40.935, NVIDIA GeForce RTX 5060 Ti, 13 %, 1764 MiB, P1
2026/09/04 20:41:41.435, NVIDIA GeForce RTX 5060 Ti, 28 %, 1764 MiB, P1
2026/09/04 20:41:41.935, NVIDIA GeForce RTX 5060 Ti, 8 %, 1764 MiB, P1
2026/09/04 20:41:42.435, NVIDIA GeForce RTX 5060 Ti, 0 %, 1764 MiB, P1
