actual_input_tokens,actual_output_tokens,cache_prompt,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens_requested,latency_ms,method,model_sha256,output_tokens_requested,partial_response,phase,planned_at,pure_network_ms,request_id,requester,retry,run_id,runtime_revision,selected_node,sent_at,server_timings,status,stop_type,tokens_cached,ttft_ms,zero_prefix_reuse_verified
32,1,False,1788843924.102629,1,0.0,False,1788843924.1018355,0.00667572021484375,True,32,214.6306700014975,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,1,True,readiness_probe,1788843923.8879921,,prompt-0000,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843923.8879988,"{""cache_n"": 0, ""prompt_n"": 32, ""prompt_ms"": 210.228, ""prompt_per_token_ms"": 6.569625, ""prompt_per_second"": 152.21568963220884, ""predicted_n"": 1, ""predicted_ms"": 0.001, ""predicted_per_token_ms"": 0.0, ""predicted_per_second"": 0.0}",ok,limit,32,213.83837699977448,True
512,128,False,1788843926.3559613,1,61.75718146059139,False,1788843924.2993703,0.0050067901611328125,True,512,2252.8426889984985,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,warmup,1788843924.1031141,,prompt-0001,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843924.1031191,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 192.699, ""prompt_per_token_ms"": 0.376365234375, ""prompt_per_second"": 2656.9935495254254, ""predicted_n"": 128, ""predicted_ms"": 2056.441, ""predicted_per_token_ms"": 16.192448818897635, ""predicted_per_second"": 61.75718146059139}",ok,limit,639,196.2527110008523,True
512,128,False,1788843928.464537,1,65.60567990213906,False,1788843926.5286646,0.0019073486328125,True,512,2108.422453995445,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843926.3561127,,prompt-0002,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843926.3561146,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 170.43, ""prompt_per_token_ms"": 0.33287109375, ""prompt_per_second"": 3004.165933227718, ""predicted_n"": 128, ""predicted_ms"": 1935.808, ""predicted_per_token_ms"": 15.242582677165354, ""predicted_per_second"": 65.60567990213906}",ok,limit,639,172.55112799466588,True
512,128,False,1788843930.5790837,1,65.47802567769756,False,1788843928.638903,0.002384185791015625,True,512,2114.3696310027735,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843928.4647124,,prompt-0003,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843928.4647148,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 171.946, ""prompt_per_token_ms"": 0.33583203125, ""prompt_per_second"": 2977.6790387679853, ""predicted_n"": 128, ""predicted_ms"": 1939.582, ""predicted_per_token_ms"": 15.272299212598426, ""predicted_per_second"": 65.47802567769756}",ok,limit,639,174.1889320037444,True
512,128,False,1788843932.702695,1,65.23418558971703,False,1788843930.7548862,0.003814697265625,True,512,2123.337981996883,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843930.5793533,,prompt-0004,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843930.5793571,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 172.433, ""prompt_per_token_ms"": 0.336783203125, ""prompt_per_second"": 2969.2692234085125, ""predicted_n"": 128, ""predicted_ms"": 1946.832, ""predicted_per_token_ms"": 15.329385826771654, ""predicted_per_second"": 65.23418558971703}",ok,limit,639,175.52964499918744,True
512,128,False,1788843934.8159719,2,65.77816082190589,False,1788843932.8846529,6.62541389465332,True,512,2106.3969590031775,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843932.702949,,c2-0,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843932.7095745,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 172.034, ""prompt_per_token_ms"": 0.33600390625, ""prompt_per_second"": 2976.1558761640144, ""predicted_n"": 128, ""predicted_ms"": 1930.732, ""predicted_per_token_ms"": 15.202614173228346, ""predicted_per_second"": 65.77816082190589}",ok,limit,639,175.0784100004239,True
512,128,False,1788843936.9171722,2,65.7800006008252,False,1788843934.985956,7.590293884277344,True,512,4206.6322390019195,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843932.702949,,c2-1,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843932.7105393,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 170.044, ""prompt_per_token_ms"": 0.3321171875, ""prompt_per_second"": 3010.985392016184, ""predicted_n"": 128, ""predicted_ms"": 1930.678, ""predicted_per_token_ms"": 15.202188976377954, ""predicted_per_second"": 65.7800006008252}",ok,limit,639,2275.415932999749,True
512,128,False,1788843939.0217273,4,65.78068202654225,False,1788843937.0905185,0.5476474761962891,True,512,2103.0680010007927,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843936.9181106,,c4-0,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843936.9186583,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 167.97, ""prompt_per_token_ms"": 0.32806640625, ""prompt_per_second"": 3048.163362505209, ""predicted_n"": 128, ""predicted_ms"": 1930.658, ""predicted_per_token_ms"": 15.202031496062991, ""predicted_per_second"": 65.78068202654225}",ok,limit,639,171.85992199665634,True
512,128,False,1788843941.0838935,4,67.13190308901902,False,1788843939.1920173,1.5571117401123047,True,512,4164.2249719952815,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843936.9181106,,c4-1,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843936.9196677,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 170.439, ""prompt_per_token_ms"": 0.332888671875, ""prompt_per_second"": 3004.007298798984, ""predicted_n"": 128, ""predicted_ms"": 1891.798, ""predicted_per_token_ms"": 14.896047244094488, ""predicted_per_second"": 67.13190308901902}",ok,limit,639,2272.3493759986013,True
512,128,False,1788843943.1687467,4,66.395785801967,False,1788843941.255538,2.557039260864258,True,512,6248.0787789972965,cached-on-demand,74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45,128,True,measure,1788843936.9181106,,c4-2,etri-dev0005-jetagx,False,agx-smoke-a,d222767c7,etri-dev0005-jetagx,1788843936.9206676,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 171.094, ""prompt_per_token_ms"": 0.33416796875, ""prompt_per_second"": 2992.5070429120833, ""predicted_n"": 128, ""predicted_ms"": 1912.772, ""predicted_per_token_ms"": 15.061196850393701, ""predicted_per_second"": 66.395785801967}",ok,limit,639,4334.870931998012,True
