node,concurrency,blocks,requests,errors,error_rate,median_client_latency_ms,p95_client_latency_ms,median_ttft_ms,p95_ttft_ms,median_queue_wait_ms,p95_queue_wait_ms,median_tokens_per_second,mean_throughput_rps,min_throughput_rps,max_throughput_rps,p95_observed_queue_length,max_observed_queue_length,mean_cpu_percent,mean_ram_percent,max_temperature_celsius
nano,1,3,180,0,0.0,198.40449999999998,208.0288,29.7795,36.1674,0.012,0.014,49.352000000000004,4.9589218703899585,4.948510044841687,4.966039440803393,0.0,0,53.84983333333333,47.68936111111111,56.968
nano,2,3,186,0,0.0,389.409,402.219,220.8665,234.88375,189.647,199.024,49.396,5.052829854516882,5.04707936989017,5.059899251038274,1.0,1,52.612444444444435,47.693694444444446,57.0
nano,4,3,193,0,0.0,778.361,790.1497999999999,610.003,624.3338,578.787,587.9015999999999,49.455,5.0695980303225605,5.034081915335938,5.1075910132472435,3.0,3,52.678,47.68297222222222,57.375
nano,8,3,204,0,0.0,1560.1425,1573.2766,1392.2015000000001,1405.29445,1360.1035,1372.7911499999998,49.3945,5.05478228906525,5.052298836433938,5.058861405541481,7.0,7,53.535615384615376,47.703435897435895,57.343
nano,16,3,229,1,0.004366812227074236,3120.038,3135.3801,2950.773,2960.6478,2919.0344999999998,2928.15545,49.4375,5.057992355454556,5.035735755133975,5.075969192566428,15.0,15,53.85132558139535,47.70760465116278,57.531
nano,32,3,284,8,0.028169014084507043,6219.4755000000005,6290.7045,6048.4395,6110.33275,6017.382,6076.71175,49.406,5.065564890076383,5.036804876985446,5.0900877380526,31.0,31,55.35490196078431,47.74627450980391,57.687
