block,concurrency,condition_id,run_order,target_node,within_block_order
1,4,b01-o01-nano-c4,1,nano,1
1,32,b01-o02-nano-c32,2,nano,2
1,16,b01-o03-nano-c16,3,nano,3
1,8,b01-o04-nano-c8,4,nano,4
1,2,b01-o05-nano-c2,5,nano,5
1,1,b01-o06-nano-c1,6,nano,6
2,4,b02-o01-nano-c4,7,nano,1
2,16,b02-o02-nano-c16,8,nano,2
2,1,b02-o03-nano-c1,9,nano,3
2,32,b02-o04-nano-c32,10,nano,4
2,8,b02-o05-nano-c8,11,nano,5
2,2,b02-o06-nano-c2,12,nano,6
3,1,b03-o01-nano-c1,13,nano,1
3,2,b03-o02-nano-c2,14,nano,2
3,16,b03-o03-nano-c16,15,nano,3
3,8,b03-o04-nano-c8,16,nano,4
3,4,b03-o05-nano-c4,17,nano,5
3,32,b03-o06-nano-c32,18,nano,6
